Country,"Child mortality (IHME, 2018)",Landmass,Latitude,Longitude,Total Population
Lithuania,5.17,62641,55.169438,23.881275,2828403
,,,#N/A,#N/A,#N/A
,,,#N/A,#N/A,#N/A
Luxembourg,2.37,2430,49.815273,6.129583,596336
Macedonia,10.22,#N/A,#N/A,#N/A,#N/A
Madagascar,78.11,581800,-18.766947,46.869107,25570540
Malawi,70.85,94280,-13.254308,34.301525,17670260
Malaysia,7.79,328550,4.210484,101.975766,31105028
Maldives,8.47,300,3.202778,73.22068,496402
Mali,127.42,1220190,17.570692,-3.996166,18512394
Malta,6.56,320,35.937496,14.375416,467999
Marshall Islands,24.75,180,7.131474,171.184478,58058
Mauritania,49.27,1030700,21.00789,-10.940835,4282574
Mauritius,14.74,2030,-20.348404,57.552152,1264613
Mexico,17.38,1943950,23.634501,-102.552784,124777324
Micronesia,19.48,#N/A,7.425554,150.550812,#N/A
,,,#N/A,#N/A,#N/A
Moldova,16.36,32890,47.411631,28.369885,2755158
Mongolia,29.35,1557255.4,46.862496,103.846656,3113779
Montenegro,4.26,13450,42.708678,19.37439,622373
Morocco,21.93,446300,31.791702,-7.09262,35581294
Mozambique,79.13,786380,-18.665695,35.529562,28649007
Myanmar,48.97,652790,#N/A,#N/A,53382581
Namibia,43.6,823290,-22.95764,18.49041,2402603
Nepal,32.46,143350,28.394857,84.124008,27627124
Netherlands,4.27,33670,52.132633,5.291266,17131296
New Zealand,4.96,263310,-40.900557,174.885971,4793900
Nicaragua,17.19,120340,12.865416,-85.207229,6384855
Niger,112,1266700,17.607789,8.081666,21602472
Nigeria,109.47,910770,9.081999,8.675277,190873311
North Africa and Middle East,27.96,#N/A,#N/A,#N/A,#N/A
North Korea,24.92,#N/A,40.339852,127.510093,#N/A
Northern Mariana Islands,9.41,460,17.33083,145.38469,56562
Norway,2.87,365122.96,60.472024,8.468946,5276968
Oceania,51.86,#N/A,#N/A,#N/A,#N/A
Oman,11.28,309500,21.512583,55.923255,4665935
Pakistan,58.47,770880,30.375321,69.345116,207896686
Palestine,14.56,#N/A,#N/A,#N/A,#N/A
Panama,18.62,74120,8.537981,-80.782127,4106771
Papua New Guinea,57.46,452860,-6.314993,143.95555,8438029
