Country,"Child mortality (IHME, 2018)",Disease Burden,Prevalence of undernourishment (% of population)
Puerto Rico,10.68,24144.22976,0
Qatar,7.95,21363.23567,0
Romania,9.63,26808.11505,2.5
Russia,8.36,32178.73763,#N/A
Rwanda,50.68,40388.02008,34.9
Saint Lucia,15.08,26558.26396,#N/A
Saint Vincent and the Grenadines,18.93,31003.71002,#N/A
Samoa,15.71,30099.64236,2.5
Sao Tome and Principe,34.06,36754.62094,12.1
Saudi Arabia,8.23,24935.86191,4.8
Senegal,53.14,41359.1301,9.6
Serbia,5.61,25468.38346,4.3
Seychelles,13.48,28043.58459,0
Sierra Leone,117.82,62171.278,26.8
Singapore,2.12,14901.23451,0
Slovakia,6.52,23466.22808,#N/A
Slovenia,2.32,19703.35886,2.5
Solomon Islands,28.83,44967.81028,12.3
Somalia,110.4,62153.35436,0
South Africa,35.87,45453.01836,5.5
South Asia,43.08,39717.70381,13.97708725
South Korea,3.54,17236.08231,#N/A
South Sudan,111.26,67989.90223,0
Southeast Asia,26.89,31004.54333,#N/A
Southern Latin America,11,23765.44226,#N/A
Southern Sub-Saharan Africa,43.87,48202.49452,#N/A
Spain,3.47,17002.97201,2.5
Sri Lanka,9.29,22689.155,7.8
Sub-Saharan Africa,84.07,51978.61767,17.36630202
Sudan,52.66,39487.40318,12.2
Suriname,31.56,32970.38224,8.4
Swaziland,49.92,#N/A,#N/A
Sweden,3.03,18002.25967,2.5
Switzerland,4.04,17047.95497,2.5
Syria,18.76,40283.18062,#N/A
Taiwan,5.06,19591.13302,#N/A
Tajikistan,52.39,35255.31706,0
Tanzania,65.16,44298.81862,24.5
Thailand,9.55,23662.24999,8.9
Timor,39.07,34909.62043,#N/A
Togo,72.99,49336.85537,21.1
Tonga,19.65,32538.75493,0
Trinidad and Tobago,18.64,28909.55835,5.7
Tropical Latin America,19.97,27815.78628,#N/A
Tunisia,11.72,23405.92016,2.5
Turkey,15.21,23005.72108,2.5
Turkmenistan,32.89,34468.07412,3.8
